,country,article_name,revision_id,article_quality,Geography,Population mid-2018 (millions)
919,Salvadoran,Vicente Gómez,705353678,Stub,,
920,Salvadoran,Lorenzo Zepeda,705353843,Stub,,
921,Salvadoran,José María Peralta,705353896,Stub,,
922,Salvadoran,Francisco Menéndez,705353975,Stub,,
923,Salvadoran,Pedro José Escalón,705354095,Stub,,
924,Salvadoran,Fernando Figueroa,705354112,Stub,,
925,Salvadoran,Carlos Meléndez (politician),705354212,Stub,,
942,Salvadoran,Fabio Castillo Figueroa,705385310,Stub,,
944,"Congo, Dem. Rep. of",Eugène Diomi Ndongala Nzomambu,705390654,Stub,,
956,Martinique,President of the General Council of Martinique,705428274,Stub,,
992,"Congo, Dem. Rep. of",Théophile Mbemba Fundu,705707214,Stub,,
994,"Congo, Dem. Rep. of",Ntumba Luaba,705723187,Stub,,
995,"Congo, Dem. Rep. of",Myra Ndjoku Manianga,705723441,Stub,,
1056,Samoan,Misa Telefoni Retzlaff,706207837,Start,,
1152,Palestinian Territory,Isam al-Qadi,706650943,Start,,
1167,Salvadoran,Ricardo Montenegro,706769596,Start,,
1168,Incan,Vicente Flores,706771757,Start,,
1181,Samoan,Luagalau Levaula Kamu,706804758,Start,,
1191,Samoan,Leafa Vitale,706837234,Start,,
1258,Chechen,Khozh-Ahmed Noukhayev,707217873,Start,,
1300,Salvadoran,Rafael Campo,707399758,Start,,
1301,Salvadoran,Miguel Santín del Castillo,707400213,Start,,
1302,Salvadoran,Osmín Aguirre y Salinas,707403482,Start,,
1303,Salvadoran,Eusebio Rodolfo Cordón Cea,707404888,Start,,
1318,Salvadoran,Juan José Guzmán,707519272,Start,,
1320,Samoan,Niko Lee Hang,707525246,Start,,
1321,Samoan,Tuu'u Anasi'i Leota,707525315,Start,,
1332,Czech Republic,Vladimír Hučín,707597623,Start,,
1342,Palestinian Territory,Hussein al-Araj,707669406,Start,,
1349,Samoan,Tuiloma Pule Lameko,707750982,Start,,
1356,Hondura,Juan Ramón Salgado,707824636,Start,,
1380,"Congo, Dem. Rep. of",André-Philippe Futa,708009445,Start,,
1395,Salvadoran,Juan José Cañas,708089470,Start,,
1419,Palestinian Territory,Mohammad Barghouti,708269321,Start,,
1427,"Congo, Dem. Rep. of",Gérard Gifuza,708358969,Start,,
1428,"Congo, Dem. Rep. of",Koloso Sumaili,708359204,Start,,
1492,Palestinian Territory,Ahmed Khalidi,708495719,Start,,
1515,Ivorian,Tuo Fozié,708711840,Start,,
1516,Jersey,Terry Le Main,708727189,Start,,
1517,Jersey,Paul Routier,708727221,Start,,
1527,Jersey,Mike Vibert,708766654,Start,,
1533,Palestinian Territory,Health Minister of the Palestinian National Authority,708817890,Start,,
1561,Saint Kitts and Nevis,Lee Moore (politician),709078753,Start,,
1562,Saint Kitts and Nevis,Joseph Parry (politician),709078817,Start,,
1633,Palestinian Territory,Qais Abd al-Karim,709529097,Start,,
1635,Palestinian Territory,Mahmoud Aloul,709567584,Start,,
1654,Czech Republic,Pavla Topolánková,709676840,Start,,
1695,Saint Lucian,Harold Dalson,709912281,Start,,
1696,Saint Lucian,Keith Mondesir,709912316,Start,,
1697,Saint Lucian,Rufus Bousquet,709914459,Start,,
1716,Palestinian Territory,Victor Batarseh,709994434,Start,,
1739,Palestinian Territory,Hanna Nasser (academic),710133339,Start,,
1775,Jersey,Sean Power (Jersey),710334019,Start,,
1786,Palestinian Territory,Anastas Hanania,710390049,Start,,
1799,Saint Kitts and Nevis,Robert James Dugu Gordon,710428915,Start,,
1806,Jersey,Leonard Norman,710503170,Start,,
1821,Salvadoran,José Gregorio Salazar,710543364,Start,,
1823,Guernsey,Mike Torode,710546915,Start,,
1827,Salvadoran,Diego Vigil Cocaña,710555824,Start,,
1830,Salvadoran,Nicolás Espinoza,710578840,Start,,
1832,Ivorian,Léon Emmanuel Monnet,710585105,Start,,
1837,Hondura,Juan José Alvarado,710598059,Start,,
1859,Palestinian Territory,Joudeh George Murqos,710676772,Start,,
1860,Salvadoran,Pedro Barriere,710677703,Start,,
1884,Salvadoran,Joaquín de San Martín,710828020,Start,,
1917,Palestinian Territory,Ali al-Sartawi,710990363,Start,,
1953,Hondura,Juan Ángel Almendares Bonilla,711170881,Start,,
2000,Rhodesian,Washington Malianga,711506001,Stub,,
2013,Czech Republic,Josef Barák,711675761,Stub,,
2095,Rhodesian,Ronald Snapper,712233907,Stub,,
2098,East Timorese,Rogerio Lobato,712249441,Stub,,
2107,Palestinian Territory,Jamal Tirawi,712310215,Stub,,
2131,Czech Republic,Antonín Švehla,712426548,Stub,,
2197,Montserratian,Peter Waterworth,712713704,Stub,,
2329,Ivorian,Pierre Djédji Amondji,713176326,Stub,,
2332,"Congo, Dem. Rep. of",Célestin Cibalonza Byaterana,713195149,Stub,,
2334,"Congo, Dem. Rep. of",Emmanuel Leku Apuobo,713198718,Stub,,
2336,Palestinian Territory,Samir Abu Eisheh,713203735,Stub,,
2365,Guadeloupe,Henri Beaujean,713324685,Stub,,
2380,Ivorian,Diabete Aboubacar Siriki,713381693,Stub,,
2413,Palestinian Territory,Sami Taha,713505054,Stub,,
2426,"Congo, Dem. Rep. of",Kisula Ngoy,713583472,Stub,,
2447,Czech Republic,Jakob Marzel Sternberger,713698544,Stub,,
2452,Carniolan,Ivan Hribar,713766077,Stub,,
2492,Martinique,Jean Maran,713974388,Stub,,
2509,Faroese,Andrias Christian Evensen,714088539,Stub,,
2517,"Congo, Dem. Rep. of",Jean Collins Musonda Kalusambo,714150941,Stub,,
2523,Czech Republic,Alois Anderka,714174726,Stub,,
2524,Palestinian Territory,Ayyub Musallam,714176771,Stub,,
2526,Palestinian Territory,Hajj Essa Hamed,714181175,Stub,,
2528,Ivorian,Auguste Denise,714183793,Stub,,
2532,Ivorian,Philippe Yacé,714200423,Stub,,
2534,Palestinian Territory,Hasan Tahboub,714208891,Stub,,
2541,"Congo, Dem. Rep. of",Denis Kalume Numbi,714220527,Stub,,
2547,Samoan,Laauli Leuatea Polataivao,714244543,Stub,,
2550,Salvadoran,José Félix Quirós,714256648,Stub,,
2644,Palestinian Territory,Hanna Nasser,714586856,Stub,,
2705,Ivorian,Jean-Baptiste Mockey,714822110,Stub,,
2821,Cape Colony,Joseph Orpen,715016315,Stub,,
2846,Palestinian Territory,Ghazi Hanania,715125381,Stub,,
2884,Faroese,Hákun Djurhuus,715330944,Stub,,
2892,Hondura,Oscar Kilgore,715365023,Stub,,
2936,Czech Republic,Ivan Dejmal,715467197,Stub,,
2943,Martinique,Serge Larcher,715489433,Stub,,
2944,Faroese,Jógvan Justinusson,715490721,Stub,,
3007,Czech Republic,Franz Macoun,715640391,Stub,,
3069,Pitcairn Islands,Edgar Allen Christian,715823848,Stub,,
3070,Pitcairn Islands,Frederick Martin Christian,715823876,Stub,,
3071,Pitcairn Islands,John Lorenzo Christian,715823908,Stub,,
3146,Faroese,Andrass Samuelsen,716137698,Stub,,
3165,South Korean,Kim Seung-kew,716323288,Stub,,
3168,Saint Vincent and the Grenadines,Joseph Lambert Eustace,716335437,Stub,,
3173,Saint Lucian,Len Ishmael,716376965,Stub,,
3182,Palestinian Territory,Amin Abd al-Hadi,716425885,Stub,,
3192,Carniolan,Gregor Žerjav,716507073,Stub,,
3209,Carniolan,Karel Dežman,716574519,Stub,,
3250,South African Republic,Willem Cornelis Janse van Rensburg,716703178,Stub,,
3254,Czech Republic,Karel Urbánek,716711851,Stub,,
3310,Hondura,Roberto Flores Bermúdez,716882219,Stub,,
3352,Palestinian Territory,Samir Hulileh,717174805,Stub,,
3359,South Ossetian,Stanislav Kochiev,717215546,Stub,,
3363,South Ossetian,Valeriy Hubulov,717241760,Stub,,
3371,Pitcairn Islands,Benjamin Stanley Young,717259837,Stub,,
3378,Pitcairn Islands,Edward Quintal,717338734,Stub,,
3379,Pitcairn Islands,Arthur Quintal I,717340951,Stub,,
3380,Pitcairn Islands,Fletcher Christian II,717340996,Stub,,
3381,Pitcairn Islands,Moses Young,717341064,Stub,,
3392,Pitcairn Islands,Matthew McCoy (Magistrate),717345596,Stub,,
3393,Pitcairn Islands,Arthur Quintal II,717346443,Stub,,
3396,Martinique,Leona Gabriel,717349591,Stub,,
3410,Palestinian Territory,Hatem Qafisha,717350346,Stub,,
3411,Carniolan,Josip Vilfan,717350390,Stub,,
3412,Pitcairn Islands,Charles Christian II,717350782,Stub,,
3457,South Korean,Seo Young-kyo,717405394,Stub,,
3462,Czech Republic,Vladimír Klokočka,717429365,Stub,,
3464,Samoan,To’alepaiali’i Toeolesulusulu Salesa III,717442173,Stub,,
3502,Cook Island,Tou Travel Ariki,717545630,Stub,,
3524,Cook Island,Piho Rua,717593716,Stub,,
3553,Carniolan,Luka Svetec,717669055,Stub,,
3607,Hondura,María Josefa Lastiri,717808509,Stub,,
3626,Pitcairn Islands,Norris Henry Young,717867039,Stub,,
3636,Cook Island,Robert Woonton,717897925,Stub,,
3638,Salvadoran,Edgardo Carlos Suárez Mallagray,717903674,Stub,,
3644,Palestinian Territory,Nayef Rajoub,717907429,Stub,,
3647,Jersey,Ben Shenton,717911161,Stub,,
3652,Omani,Hilal Al Sarmi,717915660,Stub,,
3693,Guadeloupe,Jean Julien Angot des Rotours,718041739,Stub,,
3708,Hondura,Eduardo Bueso,718132526,Stub,,
3771,Cape Colony,Klaas Afrikaner,718462130,Stub,,
3894,"Congo, Dem. Rep. of",Delphin Kyubwa,718961623,Stub,,
3905,Samoan,Namulau’ulu Vavae Tuilagi,718995854,Stub,,
3966,Guernsey,Laurie Morgan,719122168,Stub,,
3979,Cook Island,Ngereteina Puna,719186872,Stub,,
4000,Montserratian,Christopher J. Turner,719256142,Start,,
4073,Hondura,Elvin Santos,719637124,Start,,
4089,Samoan,Lefau Harry Schuster,719691980,Start,,
4095,Pitcairn Islands,Arthur Galsworthy,719706841,Start,,
4159,East Timorese,Manuel Magalhaes de Oliveira,720011934,Start,,
4161,Czech Republic,Jaromír Jermář,720027362,Start,,
4165,Guadeloupe,Jules Ninine,720032116,Start,,
4167,Guadeloupe,Furcie Tirolien,720040455,Start,,
4168,Guadeloupe,Henri Bangou,720040633,Start,,
4169,Guadeloupe,Dominique Larifla,720040679,Start,,
4170,Guadeloupe,Georges Dagonia,720040713,Start,,
4171,Guadeloupe,François Louisy,720040739,Start,,
4172,Martinique,Henri Agarande,720040766,Start,,
4173,French Guiana,Georges Guéril,720040781,Start,,
4174,French Guiana,Édouard Gaumont,720040911,Start,,
4178,Guadeloupe,Édouard Chammougon,720047704,Start,,
4179,Martinique,Philippe Edmond-Mariette,720051482,Start,,
4180,Martinique,Guy Lordinot,720051522,Start,,
4181,Martinique,Anicet Turinay,720051537,Start,,
4183,Guadeloupe,Léopold Hélène,720055613,Start,,
4184,Guadeloupe,Leo Andy,720055699,Start,,
4185,Guadeloupe,José Moustache,720055763,Start,,
4186,Guadeloupe,Frédéric Jalton,720055814,Start,,
4187,Guadeloupe,Rosan Girard,720055877,Start,,
4188,Guadeloupe,Armand Jean-François,720055937,Start,,
4189,Martinique,Michel Renard,720059715,Start,,
4191,Martinique,Jean Silvandre,720059792,Start,,
4206,Martinique,Marie-Joseph Pernock,720116944,Start,,
4207,Guadeloupe,Paul Valentino,720117073,Start,,
4208,Guadeloupe,Marcel Esdras,720117155,Start,,
4209,Guadeloupe,Mariani Maximin,720117294,Start,,
4213,Martinique,Camille Darsières,720127025,Start,,
4214,Martinique,Homère Clément,720127121,Start,,
4246,Palestinian Territory,Ghassan Shakaa,720225559,Start,,
4295,Saint Kitts and Nevis,Sam Condor,720360218,Start,,
4307,Salvadoran,Aníbal Portillo,720419598,Start,,
4309,Jersey,Robert Le Masurier,720430005,Start,,
4310,Tokelauan,John Allen (diplomat),720435378,Start,,
4315,French Guiana,Raymond Tarcy,720461524,Start,,
4323,Salvadoran,José Francisco Valiente,720478176,Start,,
4343,Palestinian Territory,Salim Zanoun,720541817,Start,,
4347,Saint Kitts and Nevis,Joseph Nathaniel France,720572188,Start,,
4361,Salvadoran,Diego de Holguín,720623176,Start,,
4362,Salvadoran,Sigfrido Reyes Morales,720633452,Start,,
4467,"Congo, Dem. Rep. of",Sylvain Ngabu Chumbu,720858135,Start,,
4569,Abkhazia,Zurab Achba,721094337,Start,,
4595,"Congo, Dem. Rep. of",José Endundo Bononge,721206007,Start,,
4685,Guadeloupe,Amédée Fengarol,721660701,Start,,
4689,South Ossetian,Rostislav Khugayev,721687759,Start,,
4702,Czech Republic,Artur London,721736524,Start,,
4724,French Guiana,Alain Tien-Liong,721865198,Start,,
4751,Faroese,Álvur Kirke,721938213,Start,,
4774,Hondura,Marlon Pascua,722006681,Start,,
4812,Hondura,Domingo Vásquez,722195895,Start,,
4833,Omani,Mohammed Al Rumhi,722258362,Start,,
4838,Guernsey,Peter Harwood,722295712,Start,,
4847,Faroese,Rikard Long,722336332,Start,,
4848,Faroese,Sigurð Joensen,722336979,Start,,
4889,Hondura,Enrique Flores Lanza,722442093,Start,,
4919,Faroese,Jógvan Poulsen (1854–1941),722590461,Start,,
4960,Guernsey,Martin Storey (politician),722806951,Start,,
4986,Czech Republic,František Sláma (politician),722937211,Start,,
5002,Jersey,Kevin C. Lewis,722988899,Stub,,
5019,South Korean,Lee Wu-jong,723064614,Stub,,
5046,Swaziland,Themba N. Masuku,723121670,Stub,,
5057,Czech Republic,Jan Kubice,723151837,Stub,,
5059,Samoan,Tuitama Talalelei Tuitama,723152770,Stub,,
5060,Hondura,Renan Inestroza,723153856,Stub,,
5074,Czech Republic,Kamil Jankovský,723207013,Stub,,
5092,Salvadoran,Manuel Enrique Araujo,723277343,Stub,,
5100,Hondura,Mauricio Oliva,723304712,Stub,,
5162,Cape Colony,Christian Groepe,723563811,Stub,,
5163,Dagestani,Karim Mammadbeyov,723563977,Stub,,
5228,Abkhazia,Shota Shamatava,723736482,Stub,,
5274,Saint Kitts and Nevis,Shawn Richards,723892438,Stub,,
5277,"Congo, Dem. Rep. of",Richard Muyej Mangez,723913158,Stub,,
5492,Faroese,Jacob Vestergaard,724674137,Stub,,
5496,Czech Republic,Václav Vacek,724691268,Stub,,
5552,Jersey,Rob Duhamel,724891592,Stub,,
5573,Cape Colony,William Hume (Cape politician),724976433,Stub,,
5588,Faroese,Johan Simonsen,725030656,Stub,,
5613,Hondura,Armando Calidonio,725105423,Stub,,
5627,"Congo, Dem. Rep. of",Sébastien Impeto Pengo,725141090,Stub,,
5743,Faroese,Kári P. Højgaard,725288194,Stub,,
5754,Hondura,Carlos Urbizo,725343188,Stub,,
5760,Czech Republic,Čestmír Císař,725362978,Stub,,
5784,Hondura,Mauricio Villeda,725459626,Stub,,
5788,Saint Vincent and the Grenadines,Duvalle,725462724,Stub,,
5802,Ivorian,Séry Bailly,725560428,Stub,,
5809,Hondura,Miguel Andonie Fernández,725591760,Stub,,
5810,Palestinian Territory,Ahmad Bahar (Palestinian politician),725592476,Stub,,
5838,Jersey,Patrick J. D. Ryan,725737326,Stub,,
5851,Guadeloupe,René Toribio,725882471,Stub,,
5855,Saint Lucian,Dominic Fedee,725910626,Stub,,
5856,Guernsey,William Carey (Bailiff of Guernsey),725970969,Stub,,
5858,Montserratian,Howard Fergus,725980651,Stub,,
5889,Hondura,Yolani Batres,726246603,Stub,,
5902,Saint Lucian,Philip Pierre,726374537,Stub,,
5903,Carniolan,Janez Evangelist Krek,726434981,Stub,,
6044,Czech Republic,Luca Rovinalti,726666131,Stub,,
6066,Samoan,Le Mamea Matatumua Ata,726724077,Stub,,
6067,Samoan,Tole’afoa Solomona To’ailoa,726724455,Stub,,
6083,Czech Republic,Kamil Krofta,726762194,Stub,,
6091,Hondura,Manuel Antonio Alberto Zelaya,726766670,Stub,,
6119,Omani,Yahya Al Khusaibi,726862168,Stub,,
6213,Greenlandic,List of Danish High Commissioners in Greenland,728026000,Stub,,
6238,Martinique,Emmanuel Véry-Hermence,728154475,Stub,,
6249,Cook Island,List of Presidents of the House of Ariki,728378933,Stub,,
6260,Czech Republic,Milan Štěch,728506208,Stub,,
6362,Ivorian,Laurent Akoun,729142061,Stub,,
6379,Faroese,Kristin Michelsen,729422866,Stub,,
6380,Omani,Sayyid Badr bin Hamad bin Hamood AlBusaidi,729426899,Stub,,
6381,Guernsey,David Jones (Guernsey politician),729428763,Stub,,
6382,Carniolan,Etbin Henrik Costa,729435354,Stub,,
6404,Palestinian Territory,Umm Nidal,729635985,Stub,,
6425,Guadeloupe,Patrice Tirolien,729810276,Stub,,
6438,Czech Republic,Antonín Janoušek,729912438,Stub,,
6476,Czech Republic,Bedřich Geminder,730146355,Stub,,
6522,Palestinian Territory,Aref al-Dajani,730565205,Stub,,
6527,Palestinian Territory,Faed Mustafa,730612889,Stub,,
6555,Saint Lucian,Hunter J. Francois,730756593,Stub,,
6569,Salvadoran,Joaquín Eufrasio Guzmán,730854147,Stub,,
6571,Salvadoran,Francisco Malespín,730864227,Stub,,
6633,Pitcairn Islands,Jonathan Sinclair,731458576,Stub,,
6680,Cape Colony,James Sivewright,731817397,Stub,,
6687,Cape Colony,William Downes Griffith,731908828,Stub,,
6699,Martinique,List of Presidents of the Regional Council of Martinique,732059763,Stub,,
6706,Tokelauan,Neil Walter,732100626,Stub,,
6725,French Guiana,Presidents of the Regional Council of French Guiana,732283076,Stub,,
6868,Martinique,André Lesueur,732488768,Stub,,
6909,"Congo, Dem. Rep. of",Clovis Kabongo Malemba,733051797,Stub,,
6953,Ivorian,Daniel Aka Ahizi,733596387,Stub,,
6965,Salvadoran,Rodrigo Ávila,733791467,Stub,,
7072,Palestinian Territory,Interior Minister of the Palestinian National Authority,734366909,Stub,,
7102,Faroese,Lisbeth L. Petersen,734668075,Stub,,
7146,Czech Republic,Karel Domin,735174171,Stub,,
7165,Ivorian,Bamba Mamadou,735408389,Stub,,
7185,Faroese,Símun av Skarði,735578210,Stub,,
7264,Salvadoran,Mario Aguiñada Carranza,736491718,Stub,,
7357,South African Republic,Harry Struben,736854878,Stub,,
7371,Saint Lucian,Vincent Floissac,736890123,Stub,,
7372,Saint Lucian,George Odlum,736890129,Stub,,
7388,Jersey,Philippe de Carteret II,737014330,Stub,,
7406,Saint Kitts and Nevis,Patrice Nisbett,737165159,Stub,,
7408,Montserratian,Ashley Greenwood,737169369,Stub,,
7420,Palestinian Territory,Samiha Khalil,737316891,Stub,,
7422,Cape Colony,John Sweet Distin,737348283,Stub,,
7446,"Congo, Dem. Rep. of",François Nicéphore Kakese,737533634,Stub,,
7447,French Guiana,Jean-Étienne Antoinette,737536891,Stub,,
7455,Czech Republic,Hubert Ripka,737562321,Stub,,
7483,East Timorese,João Viegas Carrascalão,737687072,Stub,,
7697,Cook Island,Tangaroa Tangaroa,737975585,Stub,,
7761,Salvadoran,David Rodríguez Rivera,738362225,Stub,,
7787,Palestinian Territory,Imil Jarjoui,738485209,Stub,,
7868,Carniolan,Mihael Preiss,738955897,Stub,,
7894,Samoan,Lealailepule Rimoni Aiafi,738999542,Stub,,
7926,Samoan,Va'ai Papu Vailupe,739170575,Stub,,
7927,Samoan,Palusalue Fa’apo II,739170586,Stub,,
7928,Samoan,Tolofuaivalelei Falemoe Lei’ataua,739170620,Stub,,
7929,Samoan,A'eau Peniamina,739170646,Stub,,
7930,Samoan,Patu Ativalu,739170663,Stub,,
7948,Saint Vincent and the Grenadines,Charles Antrobus,739296460,Stub,,
8051,Palestinian Territory,Abu Zakaria al-Jamal,740251014,Stub,,
8092,Palestinian Territory,Mustafa al-Khalidi,740562507,Stub,,
8119,Samoan,Sua Sulu'ape Paulo II,740773350,Stub,,
8151,Jersey,Connétable (Jersey and Guernsey),740998059,Stub,,
8187,Salvadoran,Carlos Ezeta,741190933,Stub,,
8193,Palestinian Territory,Samir Ghawshah,741240899,Stub,,
8237,Czech Republic,Tomáš Eduard Šilinger,741588720,Stub,,
8241,Martinique,Louis Henri de Gueydon,741659376,Stub,,
8256,Carniolan,Karel Lavrič,741794691,Stub,,
8257,Czech Republic,Petr Janyška,741798984,Stub,,
8327,Greenlandic,Gunnar Martens,742150479,Stub,,
8353,Salvadoran,Andrés Ignacio Menéndez,742279612,Stub,,
8356,Hondura,Abraham Alvarenga Urbina,742298045,Stub,,
8367,Jersey,Alan J. H. Maclean,742413962,Stub,,
8407,"Congo, Dem. Rep. of",Raymond Ramazani Baya,742707920,Stub,,
8416,Guernsey,Lyndon Trott,742737553,Stub,,
8427,Palestinian Territory,Fuad Kokaly,742810698,Stub,,
8435,Guernsey,Jonathan Le Tocq,742872067,Stub,,
8436,Guernsey,Graham Dorey,742872751,Stub,,
8440,Palestinian Territory,Janet Mikhail,742930612,Stub,,
8450,Ossetian,Alan Parastaev,743018109,Stub,,
8457,"Congo, Dem. Rep. of",Mulumba Lukoji,743061455,Stub,,
8478,Salvadoran,Gerardo Barrios,743252984,Stub,,
8495,Czech Republic,Jana Juřenčáková,743423675,Stub,,
8496,Ivorian,Simeon Aké,743428650,Stub,,
8622,Palestinian Territory,Hind Khoury,744229617,Stub,,
8657,Tokelauan,Tim Francis,744394596,Stub,,
8684,Czech Republic,Jaromír Nečas,744448745,Stub,,
8712,Ivorian,Martial Joseph Ahipeaud,744522699,Stub,,
8754,Czech Republic,Siegfried Taub,744612257,Stub,,
8757,Carniolan,Lovro Toman,744636212,Stub,,
8763,Palestinian Territory,Saloum Cohen,744680083,Stub,,
8800,Ivorian,Innocent Anaky,744920472,Stub,,
8838,Martinique,Cyrille Bissette,745174732,Stub,,
8840,Samoan,Asiata Sale'imoa Va'ai,745204530,Stub,,
8868,Jersey,Michel Couriard,745348113,Stub,,
8873,Palestinian Territory,Ahmed Majdalani,745445418,Stub,,
8965,Hondura,Agapito Robleda Castro,745838578,Stub,,
8974,Saint Vincent and the Grenadines,David Emmanuel Jack,745928420,Stub,,
9003,Hondura,César Castellanos (politician),746117875,Stub,,
9071,Palestinian Territory,Faidi al-Alami,746561126,Stub,,
9097,Martinique,Georges Marie Anne,746619744,Stub,,
9118,Czech Republic,Záviš Kalandra,746707985,Stub,,
9162,Cape Colony,John Thomas Eustace,746923352,Stub,,
9259,Rhodesian,Gerald B. Clarke,747497059,Stub,,
9277,Swaziland,Moses Mathendele Dlamini,747579157,Stub,,
9338,Carniolan,Bogumil Vošnjak,747945423,Stub,,
9367,South Ossetian,Boris Chochiev,748071193,Stub,,
9404,Pitcairn Islands,Simon Young (magistrate),748179514,Stub,,
9435,Martinique,Victor Mazuline,748274199,Stub,,
9436,Guadeloupe,Hégésippe Légitimus,748274502,Stub,,
9437,Guadeloupe,Louisy Mathieu,748274939,Stub,,
9442,Samoan,Aiono Nonumalo Sofara,748298776,Stub,,
9448,Samoan,Mata'afa Faumuina Fiame Mulinu'u I,748384437,Stub,,
9464,Salvadoran,Rubén Zamora,748418081,Stub,,
9472,Guernsey,De Vic Carey,748457839,Stub,,
9476,Samoan,Fiame Mata'afa Faumuina Mulinu'u II,748477510,Stub,,
9477,Faroese,Finnbogi Ísakson,748477895,Stub,,
9519,Hondura,Adolfo Lionel Sevilla,748832681,Stub,,
9586,Pitcairn Islands,Brian Young (magistrate),749046736,Stub,,
9616,Hondura,Vicente Tosta,749185736,Stub,,
9714,"Congo, Dem. Rep. of",Alexandre Luba Ntambo,749397818,Stub,,
9730,"Congo, Dem. Rep. of",Oscar Kashala,749419078,Stub,,
9806,Czech Republic,Alois Rašín,749575931,Stub,,
9843,Hondura,Aníbal Delgado Fiallos,749663646,Stub,,
9857,Hondura,Toribio Aguilera,749695259,Stub,,
9877,French Guiana,René Jadfard,749748234,Stub,,
9879,Ivorian,First Lady of Ivory Coast,749766207,Stub,,
