country,article_name,revision_id,article_quality
Canada,Frederick B. Rowe,676734572,Stub
Canada,Allan Evans (politician),676782180,Stub
Cape Colony,Andries Botha,676828191,Stub
Fiji,Asesela Sadole,676841743,Stub
Canada,Luke Woodrow,676947124,Stub
Canada,William G. Patterson,677094551,Stub
Solomon Islands,Simeon Bouro,677317570,Stub
Nigeria,Salisu Buhari,677435096,Stub
China,Hou Zongbin,677516121,Stub
Ecuador,Jorge Zavala,677523953,Stub
Liechtenstein,Harry Quaderer,677568976,Stub
Canada,Freeman White (politician),677724847,Stub
Tuvalu,Leneuoti Matusi,677747943,Stub
Tuvalu,Second Toafa Ministry,677750304,Stub
Canada,William J. MacNeil,677769770,Stub
Argentina,Miguel Cané,677786528,Stub
Uruguay,Gabriel Antonio Pereira,677974642,Stub
Germany,Wilhelm Wallbaum,678140107,Stub
Sao Tome and Principe,List of São Toméan politicians,678440540,Stub
Morocco,Larbi Messari,678532348,Stub
Russia,Sergey Zorin,678595657,Stub
Pakistan,Fakhrul Islam,678638092,Stub
Mexico,Cora Amalia Castilla,678721991,Stub
New Zealand,Victor Macky,679247120,Stub
Salvadoran,Joaquín Escolán y Balibrera,679294949,Stub
Somalia,Mohamed Mohamud Hayd,679509452,Stub
Belarus,Sergey Kalyakin,679547012,Stub
Slovenia,List of Slovenian politicians,679559247,Stub
Uruguay,Mateo Vidal,679591301,Stub
Canada,John Collins (Canadian politician),679623758,Stub
Fiji,Osea Gavidi,679873929,Stub
China,Cui Yuying,680016822,Stub
Singapore,Abdul Rahim Ishak,680036029,Stub
Panama,Gumercinda Páez,680071857,Stub
Ireland,Des Dalton,680161213,Stub
Guinea,Claude Pivi,680174895,Stub
Cape Colony,Charles William Hutton,680205631,Stub
Argentina,Bernardo Grinspun,680370867,Stub
Pitcairn Islands,Chairman of the Island Council (Pitcairn),680532939,Stub
Marshall Islands,Michael Konelios,680614363,Stub
Pakistan,Malik Khuda Buksh Tiwana,680618398,Stub
Canada,Barry Hynes,680618797,Stub
Hungary,"Domonkos II, Archbishop of Esztergom",680629551,Stub
Portugal,Veríssimo Aguiar Cabral,680680191,Stub
Panama,Federico Policani,680722683,Stub
Russia,Alexander Barybin,680886613,Stub
Palestinian Territory,Hossam Arafat (politician),680933208,Stub
Australia,Book:Australian Prime Ministers,680981536,Stub
United Kingdom,Laura Alvarez,681177706,Stub
Poland,Mirosław Czech,681605695,Stub
Bulgaria,Poli Karastoyanova,682145001,Stub
Ethiopia,Actisanes,682149007,Stub
South Africa,Azhar Cachalia,682166816,Stub
Rhodesian,William Fairbridge,682576258,Stub
Romania,Simona-Alice Man,682928660,Stub
Brazil,Jerônima Mesquita,683020488,Stub
Philippines,Jose Solis,683282915,Stub
Dominican Republic,Viriato Fiallo,683417360,Stub
Argentina,Rodolfo Gabrielli,683631802,Stub
Malaysia,Eli Wong,683715284,Stub
Brazil,Horácio de Matos,683946857,Stub
Poland,Robert Sych,684023803,Stub
Poland,Marek Krzysztof Jeleniewski,684023859,Stub
Canada,Brendan Howard,684050793,Stub
Ecuador,Benigno Andrade Flores,684060626,Stub
Russia,Yury Zaostrovtsev,684179656,Stub
Uganda,Patrick Mutono,684295893,Stub
Italy,Giuseppe Fenaroli Avogadro,684464777,Stub
Angola,Afonso Pedro Canga,684499128,Stub
Germany,Wilhelm von Wedell-Piesdorf,684525811,Stub
Germany,Hans Graf von Schwerin-Löwitz,684537777,Stub
Australia,Geoff Muntz,684542057,Stub
Armenia,Martiros Sarukhanyan,684660655,Stub
Colombia,Maria del Pilar Hurtado,684804678,Stub
Italy,Giovanni Bovara,684821806,Stub
Croatia,Zvonimir Mršić,684859066,Stub
Kenya,Julius Muthamia,684879320,Stub
Canada,Wilson Callan,684903534,Stub
Canada,Rod Moores,684903869,Stub
Lebanon,Georges Adwan,685116600,Stub
Yemen,Muhammad Musa al-Amri,685320824,Stub
United States,Murray Hill Incorporated,685347694,Stub
Brazil,Aníbal Diniz,685720694,Stub
Tunisia,Slaheddine Ben Mbarek,686050095,Stub
Algeria,Ali Fawzi Rebaine,686269631,Stub
Germany,Jochen Ott,686349441,Stub
Poland,Aleksander Miller,686375687,Stub
Belarus,Sergei Gaidukevich,686406513,Stub
Taiwan,President of Taiwan,686619225,Stub
Tonga,Siosifa Tuʻitupou Tuʻutafaiva,686777395,Stub
Egypt,Qandil Cabinet,687093229,Stub
Bosnia-Herzegovina,Ivo Andrić-Lužanski,687109778,Stub
Saint Kitts and Nevis,Earl Asim Martin,687127320,Stub
Argentina,Raúl Borrás,687130572,Stub
Argentina,Roque Carranza,687134370,Stub
Argentina,Germán López (politician),687138552,Stub
Iran,Electoral history of Mohammad Khatami,687159388,Stub
Iran,Electoral history of Mahmoud Ahmadinejad,687159391,Stub
Iran,Electoral history of Ali Larijani,687159546,Stub
China,Meng Xiangwei,687160422,Stub
Maldives,House of Theemuge,687285060,Stub
Togo,Ata Messan Ajavon Zeus,687492743,Stub
Ireland,John Rogers (Irish lawyer),687613810,Stub
Sudan,Mustafa Osman Obeid Salim,687837173,Stub
Bolivia,Tito Hoz de Vila,687882717,Stub
Gabon,Alexandré Barro Chambrier,688145583,Stub
Bangladesh,Md. Moniruzzaman Moni,688430552,Stub
Liberia,Benjamin Green Freeman,688501356,Stub
Myanmar,Han Tha Myint,688524967,Stub
Netherlands,Willem Buys,688537236,Stub
Belgium,Joseph Gustave Ernest Allard,688590526,Stub
Greece,Takis Papageorgopoulos,688695923,Stub
Canada,List of 2010 Canadian incumbents,688697227,Stub
China,Zhu Haowen,688763099,Stub
Malaysia,Abu Samah Mohd Kassim,689248087,Stub
Uganda,Stanislaus Okurut,689614169,Stub
Finland,Ilmi Hallsten,689893447,Stub
China,Zhao Dezun,689932213,Stub
Italy,Mario Occhiuto,689944992,Stub
Poland,Leszek Deptuła,689950541,Stub
Ukraine,Sergei Walter,690074710,Stub
Macedonia,List of mayors of Radoviš,690088836,Stub
Hungary,"Péter Szilágyi (politician, 1981)",690152474,Stub
Canada,Harold Collins (Canadian politician),690205437,Stub
Malaysia,R. G. Balan,690430012,Stub
Portugal,Vítor Aleixo,690548204,Stub
Finland,Tuomas Pohjanpalo,690700220,Stub
China,Zhang Chang (Han),690768683,Stub
China,Lei Chunmei,690770856,Stub
Slovenia,Franci Slak,691045510,Stub
Bangladesh,Abdus Sattar Mondal,691201135,Stub
Libya,Bashir Saadawi,691346630,Stub
Nigeria,Igwe Aja-Nwachukwu,691389889,Stub
Canada,Speaker of the Legislative Assembly of the Province of Canada,691747234,Stub
Albania,Josif Pashko,692123101,Stub
Maldives,Ahmed Jamsheed Mohamed,692141335,Stub
Guinea,Kerfalla Yansané,692173141,Stub
Mali,Amadou Konare,692298286,Stub
Brazil,João Alberto de Souza,692475749,Stub
Kiribati,Mote Terukaio,692502721,Stub
Kiribati,Tekiau Aretaateta,692502986,Stub
Belgium,Marie-José Laloy,692684868,Stub
France,Émile Marie Laurent,693011077,Stub
Chad,Mahamat Hissene,693055898,Stub
Brazil,Rafael Tobias de Aguiar,693179500,Stub
Vietnam,Phạm Thị Trân Châu,693208023,Stub
Solomon Islands,David Pacha,693211421,Stub
Uganda,Charles Oboth Ofumbi,693292931,Stub
China,Lu Ruilin,693336296,Stub
India,Lalbuaia,693337130,Stub
France,Ian Brossat,693338177,Stub
China,Yuan Baocheng,693354280,Stub
Uganda,Pumla Kisosonkole,693388584,Stub
Slovakia,Ivo Nesrovnal,693431430,Stub
Finland,Pekka Pesola,693514155,Stub
France,Jean Capelle (politician),693552292,Stub
Iceland,Magnús Norðdahl,693573541,Stub
Cape Colony,John Blades Currey,693624260,Stub
China,Li Zaihe,693661018,Stub
Argentina,Guillermo Montenegro,693714773,Stub
Mongolia,Khas-Ochiryn Luvsandorj,693721533,Stub
Italy,Michele Columbu,693748230,Stub
China,Li Sancai,693817205,Stub
Guyana,Martin Zephyr,694039903,Stub
Turkmenistan,Khadyr Saparlyev,694084978,Stub
Benin,Arouna Mama,694112087,Stub
Netherlands,List of Dutch politicians,694313944,Stub
Vanuatu,Robert Bohn Sikol,694335820,Stub
Peru,Javier Reátegui,694337217,Stub
Mali,Mamadou Djigué,694364743,Stub
Abkhazia,Zaur Avidzba,694519009,Stub
Mongolia,Nyamyn Jagvaral,694557304,Stub
India,Mahadeo Deole,694588693,Stub
Vietnam,Ngo Dinh Khoi,694815600,Stub
Argentina,Jorge Lemus,694889020,Stub
Finland,Viktor Magnus von Born,694949199,Stub
Finland,Lennart Byman,694949347,Stub
Pakistan,Hamid Khan Achakzai,694954386,Stub
Finland,Johan Helo,694969219,Stub
Finland,Gunnar Henriksson,694969272,Stub
Argentina,Cecilia Soria,695276940,Stub
Cuba,Francisco de Arango y Parreño,695389357,Stub
China,Tian Xiangli,695393414,Stub
Tunisia,Ridha Charfeddine,695405443,Stub
Netherlands,Tjapko Poppens,695633280,Stub
Nepal,Pradip Kumar Gyawali,695644408,Stub
Monaco,Thierry Poyet,695938011,Stub
Monaco,Eric Elena,695941127,Stub
Poland,Kalikst Witkowski,696119166,Stub
Greece,Nikos Markatos,696253449,Stub
Montenegro,Dobrilo Dedeić,696310078,Stub
Fiji,Navin Patel,696350624,Stub
Nigeria,Christopher Nwankwo,696479863,Stub
India,Electoral history of Atal Bihari Vajpayee,696606312,Stub
Iran,Khanzahi,696608092,Stub
India,Palden Tsering Gyamtso,696608668,Stub
Argentina,Soledad Sosa,697009255,Stub
Bangladesh,Shafi U Ahmed,697267319,Stub
Morocco,Omar Benjelloun,697280332,Stub
Portugal,Fernão Martins da Fonseca Coutinho,697369222,Stub
Monaco,Jean-François Robillon,697507956,Stub
Bhutan,Lhatu Wangchuk,697511001,Stub
Nepal,Tek Bahadur Gurung,697556836,Stub
Bangladesh,Mohammad Sultan,697559666,Stub
India,Gaya Prasad,697662367,Stub
Mozambique,Political Bureau of the Central Committee of FRELIMO,697742639,Stub
United Kingdom,Old Men Forget,697897076,Stub
Tuvalu,Satini Manuella,697908533,Stub
India,S. Ganesan,698048774,Stub
Canada,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",698077739,Stub
Spain,"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",698093715,Stub
Nepal,Rameshwor Phuyal,698241676,Stub
Nepal,Rishi Kattel,698253253,Stub
Australia,Peter Arnold (politician),698345894,Stub
Nepal,Sushila Chaudhary,698571611,Stub
Nepal,Mahendra Dhoj G.C.,698571613,Stub
Nepal,Sher Bahadur Tamang,698571631,Stub
Nepal,Hari Bahadur Khadka,698571634,Stub
Nepal,Tirtha Bahadur Lama,698571661,Stub
Nepal,Vishwendraman Pashwan,698571662,Stub
Nepal,Tuluram Rajbanshi,698571672,Stub
Nepal,Hari Lal Joshi,698571717,Stub
Nepal,Arjun Jang Bahadur Singh,698571731,Stub
Nepal,Prem Lal Singh,698571738,Stub
Nepal,Sebaki Devi Das Tatma,698571745,Stub
Nepal,Chandra Bahadur Gurung,698571747,Stub
Nepal,Krishna Das Shrestha,698571748,Stub
Nepal,Om Prakash Yadav Gulzari,698571750,Stub
Nepal,Omprakash Yadav,698571758,Stub
Nepal,Hari Parajuli,698571782,Stub
Nepal,Ishwar Dayal Mishra,698571785,Stub
Nepal,Sher Dhan Rai,698571803,Stub
Nepal,Bhim Bahadur Tamang,698572100,Stub
Nepal,Bedanand Jha,698572160,Stub
Nepal,Mohan Prasad Pandey,698572183,Stub
Nepal,Shekha Nath Adhikari,698572200,Stub
Nepal,Dev Raj Joshi,698572239,Stub
Nepal,Tarinee Datt Chataut,698572252,Stub
Nepal,Rabindra Nath Sharma,698572269,Stub
Nepal,Tek Bahadur Chokhyal,698572288,Stub
Nepal,Dip Kumar Upadhaya (Lamichhane),698572291,Stub
Nepal,Brijesh Kumar Gupta,698572322,Stub
Nepal,Harka Bahadur Singh,698572326,Stub
Nepal,Narayani Datt Chataut,698572327,Stub
Nepal,Mohammad Estiyak Rai,698573619,Stub
Nepal,Rameshwor Prasad Dhungel,698573648,Stub
Nepal,Parbati Chaudhary,698573657,Stub
Nepal,Ram Hari Subedi,698573663,Stub
Nepal,Malabar Singh Thapa,698573690,Stub
Nepal,Yagya Bahadur Basnyat,698573707,Stub
Nepal,Narayan Singh Pun,698573738,Stub
Nepal,Ram Ayodhya Prasad Yadav,698575586,Stub
Nepal,Ramnath Dhakal,698575613,Stub
Nepal,Sher Bahadur Kunwor,698575620,Stub
Nepal,Ram Bir Manandhar,698575646,Stub
Nepal,Radhe Chandra Yadav,698575662,Stub
Nepal,Til Kumar Menyangbo Limbu,698575677,Stub
Nepal,Tirtha Ram Dangol,698575695,Stub
Nepal,Rajendra Kumar KC,698575714,Stub
Nepal,Lekh Nath Neupane,698582041,Stub
New Zealand,Frank Lark,698635954,Stub
Bhutan,Dorji Namgyal,698806662,Stub
Bhutan,Ugyen Tshering,698806682,Stub
Maldives,Ibrahim Didi,698807297,Stub
Maldives,Ibrahim Saleem,698807322,Stub
Maldives,Mohamed Munavvar,698807325,Stub
Maldives,Mohamed Zahir Hussain,698807337,Stub
Maldives,Azima Shukoor,698807345,Stub
Maldives,Mohamed bin Hajj Ali Thukkala,698807371,Stub
Maldives,Mahmood Razi,698807791,Stub
Faroese,"List of members of the Løgting, 1998–2002",698865505,Stub
Sri Lanka,Kumaraswamy Nandagopan,698946168,Stub
Sri Lanka,V. Sivayogan,698946169,Stub
Sri Lanka,P. Ariyaratnam,698947539,Stub
Sri Lanka,V. Edirmannasingham,698947672,Stub
Sri Lanka,K. Vignarajah,698947841,Stub
Sri Lanka,M. Manickam,698948097,Stub
Sri Lanka,S. R. P. Sraiva,698948150,Stub
Slovakia,Štefan Osuský,698964210,Stub
Poland,Elżbieta Branicka,699022350,Stub
Sri Lanka,S. Pasupathipillai,699090098,Stub
Sri Lanka,Ananda Kumarasiri,699090515,Stub
Spain,Manuel Martin (conquistador),699093655,Stub
Myanmar,Thein Tun,699105110,Stub
Myanmar,Khin Yi,699105313,Stub
Myanmar,Win Aung,699105350,Stub
Myanmar,Sao Seng Suk,699105456,Stub
Myanmar,Maung Oo,699105911,Stub
Myanmar,Nai Htaw Sorn,699105927,Stub
Myanmar,Sein Myint,699105952,Stub
Myanmar,Khin Maung Thein,699105999,Stub
Myanmar,Kyaw Swa Khaing,699106128,Stub
Myanmar,Khin San Hlaing,699106152,Stub
Myanmar,Tin Hlaing,699106649,Stub
Myanmar,Thein Swe,699106665,Stub
Morocco,Mohammad Temim,699136209,Stub
Poland,Teodor Szybiłło,699143672,Stub
Thailand,Prapat Panyachatraksa,699197059,Stub
Thailand,Suwat Liptapanlop,699197123,Stub
Thailand,Sutham Sangprathum,699197323,Stub
Thailand,Virachai Virameteekul,699197850,Stub
Thailand,Theera Wongsamut,699198463,Stub
Thailand,Kraisak Choonhavan,699198744,Stub
Thailand,Chob Yodkaew,699199094,Stub
Mongolia,Mönkhchuluuny Zorigt,699217035,Stub
Mongolia,Nyamjavyn Batbayar,699217197,Stub
Switzerland,Fritz Hofmann (politician),699244801,Stub
Pakistan,Mohammad Amjad,699260156,Stub
Ukraine,Andriy Veselovsky,699336500,Stub
Ukraine,Ivan Maistrenko,699336835,Stub
Russia,Yury Lutovinov,699336991,Stub
Ukraine,Ihor Kharchenko,699337057,Stub
Ukraine,Mykola Hrabar,699337076,Stub
Austria,Emil Byk,699337845,Stub
Ukraine,Ihor Dushyn,699338274,Stub
Moldova,Victor Său,699338569,Stub
Russia,Vasiliy Pokotilo,699339086,Stub
Moldova,Iuliana Gorea-Costin,699339429,Stub
Moldova,Alexandru Codreanu,699339451,Stub
Poland,Paweł Adamowicz,699339741,Stub
Romania,Ioan Străjescu,699339799,Stub
Romania,Alexandru Cantacuzino,699339851,Stub
Romania,Eugen Bejinariu,699340034,Stub
Poland,Juliusz Leo,699340111,Stub
Israel,Leo Goldhammer,699340192,Stub
Moldova,Ivan Tkachenko (politician),699340750,Stub
Azerbaijan,Yevsey Gindes,699340982,Stub
Moldova,Pavel Parasca,699341069,Stub
